Team,FG%,3P%,REB,3P%_def,REB_def
Cleveland Cavaliers,49.3,38.3,45.1,36.6,42.1
Memphis Grizzlies,48.0,36.7,47.1,34.0,44.8
Denver Nuggets,50.5,37.9,45.7,35.0,43.6
Oklahoma City Thunder,48.1,37.5,44.9,34.8,41.9
Atlanta Hawks,46.9,35.5,44.5,35.2,42.1
Chicago Bulls,46.8,36.8,45.4,35.2,43.3
Indiana Pacers,49.1,37.2,41.3,35.8,44.6
Boston Celtics,46.2,36.9,45.0,36.4,44.1
New York Knicks,48.7,36.8,42.9,36.2,43.6
Sacramento Kings,47.7,35.4,44.3,37.1,42.0
Detroit Pistons,47.6,36.3,45.0,36.0,43.4
Dallas Mavericks,47.9,36.8,43.1,35.3,43.1
Milwaukee Bucks,48.4,38.4,43.3,35.3,45.2
Phoenix Suns,48.0,38.4,42.6,36.4,42.1
Houston Rockets,45.3,35.0,48.8,35.2,45.0
Minnesota Timberwolves,46.6,38.0,44.2,36.2,44.0
San Antonio Spurs,46.5,35.6,43.8,36.3,45.3
Golden State Warriors,45.0,36.2,45.6,35.8,44.7
Los Angeles Lakers,47.8,36.1,42.6,35.0,44.7
LA Clippers,47.8,36.8,43.8,37.8,45.3
Utah Jazz,45.5,35.0,45.3,38.6,42.5
Portland Trail Blazers,45.1,34.6,44.3,36.8,44.1
Toronto Raptors,45.8,34.8,45.1,36.3,46.2
New Orleans Pelicans,45.3,34.8,43.5,36.4,42.6
Miami Heat,46.4,36.6,43.0,36.5,45.6
Philadelphia 76ers,45.5,34.4,39.4,37.4,43.9
Washington Wizards,44.0,33.6,43.8,34.6,46.2
Charlotte Hornets,43.0,34.2,45.3,35.7,44.0
Brooklyn Nets,43.7,34.4,41.4,36.6,48.6
Orlando Magic,44.3,31.4,41.7,35.7,44.0
