home_team,away_team,home_indicator,diff_OPS,diff_AVG,diff_OBP,diff_SLG,diff_R,diff_HR,diff_ERA,diff_WHIP,diff_SO,diff_OBA,diff_HR_allowed,Winner
St. Louis Cardinals,San Diego Padres,1,0.018000000000000016,0.006000000000000005,0.0,0.018000000000000016,6,1,-0.18000000000000016,0.1299999999999999,3,0.03,-5,1
St. Louis Cardinals,Tampa Bay Rays,1,0.03700000000000003,0.013000000000000012,0.01799999999999996,0.019000000000000017,13,1,-0.7000000000000002,0.16999999999999993,18,0.024999999999999994,-13,1
St. Louis Cardinals,New York Yankees,1,-0.04499999999999993,0.02200000000000002,0.004999999999999949,-0.04999999999999999,-13,-13,-0.9500000000000002,-0.040000000000000036,6,-0.008000000000000007,-10,1
St. Louis Cardinals,Toronto Blue Jays,1,0.07900000000000007,0.02400000000000002,0.01699999999999996,0.062,18,8,-0.98,0.1299999999999999,-9,0.013000000000000012,-17,1
St. Louis Cardinals,Chicago Cubs,1,0.01100000000000001,0.025000000000000022,0.007999999999999952,0.0040000000000000036,-30,-7,-1.06,0.07999999999999985,-4,-0.006000000000000005,-21,0
St. Louis Cardinals,Miami Marlins,1,0.08300000000000007,0.025000000000000022,0.020999999999999963,0.062,19,8,-1.08,0.07999999999999985,19,-0.0010000000000000009,-6,1
St. Louis Cardinals,Arizona Diamondbacks,1,-0.016000000000000014,0.026000000000000023,0.0010000000000000009,-0.017000000000000015,-10,-6,-1.0900000000000003,-0.07000000000000006,7,-0.0050000000000000044,-8,1
St. Louis Cardinals,Athletics,1,0.03500000000000003,0.028000000000000025,0.033999999999999975,0.0,6,-7,-1.13,0.07000000000000006,24,0.009000000000000008,-13,1
St. Louis Cardinals,Boston Red Sox,1,0.08200000000000007,0.03300000000000003,0.02799999999999997,0.05299999999999999,8,3,-1.35,0.07000000000000006,-13,0.016000000000000014,-9,1
St. Louis Cardinals,Philadelphia Phillies,1,0.07200000000000006,0.041000000000000036,0.01899999999999996,0.05299999999999999,20,2,-1.3600000000000003,0.0,6,-0.013999999999999985,-12,1
St. Louis Cardinals,Los Angeles Dodgers,1,0.02100000000000002,0.04200000000000004,0.023999999999999966,-0.0030000000000000027,1,-14,-1.44,0.0,12,-0.0030000000000000027,-3,1
St. Louis Cardinals,Detroit Tigers,1,0.07300000000000006,0.04200000000000004,0.030999999999999972,0.04099999999999998,13,0,-1.48,-0.09000000000000008,-24,0.0010000000000000009,-11,1
St. Louis Cardinals,Milwaukee Brewers,1,0.09300000000000008,0.04500000000000004,0.04099999999999998,0.05199999999999999,2,-1,-1.54,-0.15000000000000013,27,-0.023999999999999994,-12,1
St. Louis Cardinals,Los Angeles Angels,1,0.051000000000000045,0.04600000000000001,0.04899999999999999,0.0030000000000000027,18,-10,-1.54,-0.14000000000000012,8,-0.023999999999999994,-10,1
St. Louis Cardinals,San Francisco Giants,1,0.05300000000000005,0.04600000000000001,0.034999999999999976,0.018000000000000016,-6,-1,-1.6900000000000004,0.0,-5,-0.0040000000000000036,-12,1
St. Louis Cardinals,Baltimore Orioles,1,0.09000000000000008,0.047000000000000014,0.04799999999999999,0.04299999999999998,16,0,-1.6900000000000004,0.050000000000000044,31,0.0030000000000000027,-4,1
St. Louis Cardinals,Cleveland Guardians,1,0.09599999999999997,0.05100000000000002,0.03999999999999998,0.055999999999999994,28,0,-1.7599999999999998,-0.17999999999999994,10,-0.027999999999999997,-15,1
St. Louis Cardinals,Washington Nationals,1,0.11399999999999999,0.05400000000000002,0.045999999999999985,0.068,17,1,-1.7800000000000002,-0.13000000000000012,2,-0.038000000000000006,-8,1
St. Louis Cardinals,Atlanta Braves,1,0.10899999999999999,0.058000000000000024,0.046999999999999986,0.062,33,-2,-1.7800000000000002,-0.13000000000000012,-7,-0.033,-13,1
St. Louis Cardinals,Colorado Rockies,1,0.15400000000000003,0.060000000000000026,0.063,0.09100000000000003,42,8,-1.8399999999999999,-0.010000000000000009,-12,0.028999999999999998,-12,1
St. Louis Cardinals,New York Mets,1,0.10999999999999999,0.061000000000000026,0.046999999999999986,0.063,22,5,-1.88,-0.1200000000000001,32,-0.012999999999999984,-13,1
St. Louis Cardinals,Seattle Mariners,1,0.08200000000000007,0.061000000000000026,0.030999999999999972,0.05099999999999999,13,-6,-1.96,-0.26,2,-0.033,-14,1
St. Louis Cardinals,Texas Rangers,1,0.14600000000000002,0.06200000000000003,0.07399999999999995,0.07200000000000001,36,2,-2.0600000000000005,-0.22999999999999998,50,-0.05600000000000002,-9,1
St. Louis Cardinals,Minnesota Twins,1,0.16100000000000003,0.06400000000000003,0.064,0.09799999999999998,28,7,-2.08,-0.1200000000000001,7,-0.009000000000000008,-19,1
St. Louis Cardinals,Houston Astros,1,0.16500000000000004,0.06400000000000003,0.04799999999999999,0.118,28,6,-2.08,-0.14000000000000012,18,-0.025999999999999995,-17,1
St. Louis Cardinals,Cincinnati Reds,1,0.15700000000000003,0.06700000000000003,0.059,0.09799999999999998,14,3,-2.2300000000000004,-0.20999999999999996,28,-0.016999999999999987,-15,1
St. Louis Cardinals,Kansas City Royals,1,0.20100000000000007,0.07400000000000004,0.07399999999999995,0.127,27,7,-2.33,-0.19999999999999996,42,-0.026999999999999996,-16,1
St. Louis Cardinals,Pittsburgh Pirates,1,0.19800000000000006,0.08300000000000002,0.065,0.133,27,7,-2.67,-0.32000000000000006,18,-0.05100000000000002,-12,1
St. Louis Cardinals,Chicago White Sox,1,0.21700000000000008,0.08400000000000002,0.07799999999999996,0.139,40,8,-2.91,-0.3900000000000001,49,-0.06699999999999998,-18,1
San Diego Padres,St. Louis Cardinals,1,-0.018000000000000016,-0.006000000000000005,0.0,-0.018000000000000016,-6,-1,0.18000000000000016,-0.1299999999999999,-3,-0.03,5,0
San Diego Padres,Tampa Bay Rays,1,0.019000000000000017,0.007000000000000006,0.01799999999999996,0.0010000000000000009,7,0,-0.52,0.040000000000000036,15,-0.0050000000000000044,-8,0
San Diego Padres,New York Yankees,1,-0.06299999999999994,0.016000000000000014,0.004999999999999949,-0.068,-19,-14,-0.77,-0.16999999999999993,3,-0.038000000000000006,-5,0
San Diego Padres,Toronto Blue Jays,1,0.061000000000000054,0.018000000000000016,0.01699999999999996,0.043999999999999984,12,7,-0.7999999999999998,0.0,-12,-0.016999999999999987,-12,0
San Diego Padres,Chicago Cubs,1,-0.007000000000000006,0.019000000000000017,0.007999999999999952,-0.014000000000000012,-36,-8,-0.8799999999999999,-0.050000000000000044,-7,-0.036000000000000004,-16,0
San Diego Padres,Miami Marlins,1,0.06500000000000006,0.019000000000000017,0.020999999999999963,0.043999999999999984,13,7,-0.8999999999999999,-0.050000000000000044,16,-0.031,-1,1
San Diego Padres,Arizona Diamondbacks,1,-0.03400000000000003,0.020000000000000018,0.0010000000000000009,-0.03500000000000003,-16,-7,-0.9100000000000001,-0.19999999999999996,4,-0.035,-3,0
San Diego Padres,Athletics,1,0.017000000000000015,0.02200000000000002,0.033999999999999975,-0.018000000000000016,0,-8,-0.9499999999999997,-0.05999999999999983,21,-0.02099999999999999,-8,0
San Diego Padres,Boston Red Sox,1,0.06400000000000006,0.027000000000000024,0.02799999999999997,0.034999999999999976,2,2,-1.17,-0.05999999999999983,-16,-0.013999999999999985,-4,1
San Diego Padres,Philadelphia Phillies,1,0.05400000000000005,0.03500000000000003,0.01899999999999996,0.034999999999999976,14,1,-1.1800000000000002,-0.1299999999999999,3,-0.043999999999999984,-7,1
San Diego Padres,Los Angeles Dodgers,1,0.0030000000000000027,0.03600000000000003,0.023999999999999966,-0.02100000000000002,-5,-15,-1.2599999999999998,-0.1299999999999999,9,-0.033,2,0
San Diego Padres,Detroit Tigers,1,0.05500000000000005,0.03600000000000003,0.030999999999999972,0.022999999999999965,7,-1,-1.2999999999999998,-0.21999999999999997,-27,-0.028999999999999998,-6,0
San Diego Padres,Milwaukee Brewers,1,0.07500000000000007,0.039000000000000035,0.04099999999999998,0.033999999999999975,-4,-2,-1.3599999999999999,-0.28,24,-0.05399999999999999,-7,1
San Diego Padres,Los Angeles Angels,1,0.03300000000000003,0.04000000000000001,0.04899999999999999,-0.015000000000000013,12,-11,-1.3599999999999999,-0.27,5,-0.05399999999999999,-5,0
San Diego Padres,San Francisco Giants,1,0.03500000000000003,0.04000000000000001,0.034999999999999976,0.0,-12,-2,-1.5100000000000002,-0.1299999999999999,-8,-0.034,-7,0
San Diego Padres,Baltimore Orioles,1,0.07200000000000006,0.04100000000000001,0.04799999999999999,0.024999999999999967,10,-1,-1.5100000000000002,-0.07999999999999985,28,-0.026999999999999996,1,1
San Diego Padres,Cleveland Guardians,1,0.07799999999999996,0.04500000000000001,0.03999999999999998,0.03799999999999998,22,-1,-1.5799999999999996,-0.30999999999999983,7,-0.057999999999999996,-10,1
San Diego Padres,Washington Nationals,1,0.09599999999999997,0.048000000000000015,0.045999999999999985,0.04999999999999999,11,0,-1.6,-0.26,-1,-0.068,-3,1
San Diego Padres,Atlanta Braves,1,0.09099999999999997,0.05200000000000002,0.046999999999999986,0.043999999999999984,27,-3,-1.6,-0.26,-10,-0.063,-8,1
San Diego Padres,Colorado Rockies,1,0.136,0.05400000000000002,0.063,0.07300000000000001,36,7,-1.6599999999999997,-0.1399999999999999,-15,-0.0010000000000000009,-7,1
San Diego Padres,New York Mets,1,0.09199999999999997,0.05500000000000002,0.046999999999999986,0.044999999999999984,16,4,-1.6999999999999997,-0.25,29,-0.04299999999999998,-8,1
San Diego Padres,Seattle Mariners,1,0.06400000000000006,0.05500000000000002,0.030999999999999972,0.032999999999999974,7,-7,-1.7799999999999998,-0.3899999999999999,-1,-0.063,-9,1
San Diego Padres,Texas Rangers,1,0.128,0.05600000000000002,0.07399999999999995,0.05399999999999999,30,1,-1.8800000000000003,-0.3599999999999999,47,-0.08600000000000002,-4,1
San Diego Padres,Minnesota Twins,1,0.14300000000000002,0.058000000000000024,0.064,0.07999999999999996,22,6,-1.9,-0.25,4,-0.03900000000000001,-14,1
