Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Boston Celtics,68,107.1,38.2,86.5,44.1,14.0,39.1,35.9,16.7,21.4,77.7,11.0,30.6,41.7,24.8,6.1,4.2,12.0,18.3
Oklahoma City Thunder,68,107.7,38.4,88.2,43.6,14.2,38.9,36.6,16.6,22.3,74.6,12.1,33.7,45.7,24.9,7.5,4.4,16.0,21.0
Houston Rockets,67,109.8,40.3,87.9,45.8,12.4,35.2,35.1,16.8,22.3,75.2,11.6,28.0,39.6,24.5,9.3,4.5,12.8,20.0
Detroit Pistons,67,109.8,37.6,85.1,44.2,12.7,36.5,34.7,22.0,27.6,79.7,11.5,29.7,41.2,23.4,8.9,5.8,16.1,21.7
New York Knicks,69,110.6,39.3,86.1,45.7,13.7,38.4,35.6,18.2,23.4,77.9,10.0,31.1,41.2,24.7,7.3,4.4,13.9,19.4
Phoenix Suns,68,111.3,40.2,85.6,47.0,12.2,35.4,34.5,18.7,23.8,78.6,12.0,31.9,43.9,24.7,7.9,4.4,15.6,18.7
San Antonio Spurs,68,111.8,41.0,90.9,45.1,12.9,36.5,35.4,16.9,21.3,79.2,10.6,32.4,43.1,26.0,7.8,4.6,12.6,20.6
Toronto Raptors,67,111.9,40.1,86.3,46.5,12.8,36.4,35.1,18.9,23.9,79.1,11.0,32.5,43.5,24.5,7.9,5.3,15.0,19.6
Charlotte Hornets,68,112.3,41.4,88.2,46.9,12.8,35.6,36.1,16.7,20.7,80.5,10.2,29.5,39.6,26.4,8.4,4.6,12.2,19.8
LA Clippers,68,112.7,41.0,87.6,46.8,13.3,36.5,36.6,17.4,21.9,79.4,11.4,30.7,42.1,26.2,8.5,4.6,13.3,20.1
Orlando Magic,67,114.2,41.6,87.8,47.4,11.8,33.7,34.9,19.3,24.9,77.5,10.7,33.0,43.8,25.1,7.9,5.5,14.2,21.6
Golden State Warriors,68,114.4,41.9,88.6,47.3,12.7,35.8,35.3,17.9,22.1,80.7,11.9,33.3,45.2,26.7,8.6,4.2,15.4,18.3
Cleveland Cavaliers,68,114.9,41.2,89.0,46.3,13.8,37.4,36.9,18.7,23.6,79.2,11.5,32.2,43.7,26.8,8.7,4.4,14.7,20.4
Los Angeles Lakers,68,114.9,42.5,87.8,48.4,13.0,36.4,35.6,17.0,21.4,79.2,10.8,30.4,41.2,27.5,8.8,3.6,14.1,21.0
Minnesota Timberwolves,68,115.2,41.5,89.5,46.3,12.5,34.8,36.0,19.6,25.3,77.8,11.3,31.6,42.9,26.1,8.4,3.8,14.0,20.7
Brooklyn Nets,68,115.6,42.1,85.4,49.3,12.4,32.8,37.8,18.9,24.1,78.4,10.2,32.7,42.9,27.4,9.3,5.2,13.0,19.5
Philadelphia 76ers,68,116.0,41.8,89.1,46.9,13.4,37.5,35.7,19.1,24.2,78.7,12.0,33.0,45.0,27.6,7.4,5.3,15.2,20.3
Milwaukee Bucks,67,116.1,41.3,88.2,46.8,14.8,39.9,37.0,18.8,24.1,77.9,11.2,33.7,44.9,27.7,8.4,4.1,12.4,17.9
Atlanta Hawks,68,116.6,42.5,89.9,47.3,13.1,36.8,35.6,18.5,23.3,79.3,11.3,34.6,45.9,26.7,8.6,5.0,14.9,18.6
Miami Heat,68,116.6,42.6,93.0,45.7,13.7,39.3,34.8,17.8,22.1,80.5,11.7,34.9,46.6,26.9,8.1,5.1,14.9,20.5
Denver Nuggets,68,116.7,42.7,90.7,47.0,13.5,38.3,35.2,17.9,23.2,77.0,11.2,31.5,42.8,27.3,8.0,4.7,11.5,21.6
Portland Trail Blazers,69,117.2,42.5,89.8,47.3,12.9,35.8,36.2,19.4,24.6,78.7,12.2,31.4,43.6,26.6,11.1,5.9,14.9,21.9
Dallas Mavericks,69,118.2,44.4,94.1,47.3,12.5,36.6,34.2,16.8,21.9,76.7,12.2,34.4,46.6,28.0,9.0,5.3,12.4,20.9
Memphis Grizzlies,67,118.6,43.2,90.8,47.6,14.0,38.7,36.1,18.3,23.3,78.5,12.3,33.2,45.6,27.4,8.7,5.1,14.9,20.1
New Orleans Pelicans,69,119.7,43.5,91.8,47.4,14.4,41.2,34.9,18.4,23.7,77.8,12.7,33.0,45.7,27.8,7.9,5.9,13.8,20.3
Indiana Pacers,68,119.9,43.9,89.5,49.0,11.8,33.4,35.3,20.4,26.5,77.1,11.0,35.9,46.8,26.2,8.0,4.8,13.0,20.4
Chicago Bulls,68,120.0,44.3,93.5,47.3,13.9,37.8,36.8,17.6,22.6,77.7,11.1,34.1,45.3,28.4,8.9,5.5,12.0,18.4
Sacramento Kings,69,120.6,43.9,89.2,49.3,13.3,36.1,36.8,19.4,24.8,78.3,11.3,33.3,44.6,27.6,8.7,4.9,13.6,18.3
Washington Wizards,67,123.7,44.3,92.3,48.0,13.7,37.7,36.4,21.4,26.9,79.8,13.4,34.5,47.9,28.8,10.0,5.4,13.0,17.8
Utah Jazz,68,124.9,44.3,90.6,48.9,15.4,41.5,37.0,21.0,27.0,77.6,11.9,33.3,45.2,30.4,9.2,5.9,13.7,20.5
