Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Denver Nuggets,68,120.7,42.8,87.0,49.2,13.8,35.3,39.1,21.3,26.3,80.8,9.6,33.6,43.3,28.2,7.0,4.0,12.3,19.0
Miami Heat,68,120.4,43.5,93.6,46.5,13.4,37.3,36.0,20.0,25.3,79.1,12.1,34.9,47.0,28.6,9.2,4.3,13.4,18.9
Cleveland Cavaliers,68,119.1,43.2,90.5,47.8,14.6,40.4,36.1,18.1,23.3,77.4,11.9,32.3,44.2,28.3,8.7,5.2,13.5,19.8
San Antonio Spurs,68,118.8,42.9,89.3,48.0,13.5,37.8,35.7,19.6,25.2,78.0,11.3,35.2,46.6,27.4,7.6,5.5,12.9,19.3
Oklahoma City Thunder,68,118.5,42.8,89.0,48.0,13.6,37.9,36.0,19.4,23.5,82.2,9.4,34.4,43.8,25.5,9.7,5.5,11.9,19.2
Minnesota Timberwolves,68,118.5,42.7,88.0,48.5,13.9,37.3,37.2,19.3,25.7,74.9,11.0,33.3,44.4,26.1,8.6,5.6,14.2,21.3
Atlanta Hawks,68,117.8,43.3,91.8,47.2,14.4,39.1,36.8,16.9,21.8,77.3,10.8,32.8,43.5,30.4,9.4,4.7,13.4,19.6
Utah Jazz,68,117.3,42.0,90.3,46.5,12.9,37.1,34.8,20.4,25.6,79.8,11.9,31.9,43.8,29.4,8.6,3.6,15.1,21.6
Detroit Pistons,67,117.2,43.1,89.9,48.0,11.0,31.4,34.9,20.1,26.4,75.9,13.3,32.5,45.8,26.9,10.5,6.4,14.2,22.3
New York Knicks,69,116.9,42.6,90.1,47.3,14.5,39.0,37.2,17.1,21.7,78.9,12.9,33.3,46.2,27.4,8.0,4.1,13.0,20.4
Los Angeles Lakers,68,116.3,42.0,84.3,49.8,12.1,33.9,35.6,20.1,26.2,76.8,9.6,31.3,40.9,25.5,8.3,4.2,13.8,18.7
Chicago Bulls,68,116.0,42.3,90.1,46.9,14.6,40.3,36.3,16.8,21.5,78.2,10.3,34.8,45.1,28.8,7.4,5.1,14.4,18.6
New Orleans Pelicans,69,115.6,42.1,90.5,46.5,11.2,32.4,34.6,20.2,25.8,78.4,12.4,31.9,44.2,25.1,8.8,5.1,13.5,19.9
Orlando Magic,67,115.6,41.1,88.6,46.4,11.7,34.0,34.5,21.6,27.0,79.9,11.0,32.8,43.8,26.5,8.6,5.0,13.2,20.8
Memphis Grizzlies,67,115.6,41.7,90.6,46.0,13.7,38.4,35.6,18.5,23.3,79.2,11.6,31.8,43.5,28.6,8.7,5.1,14.8,20.3
Philadelphia 76ers,68,115.6,41.4,89.9,46.0,12.3,35.4,34.8,20.6,25.4,81.1,11.8,31.3,43.1,24.4,9.4,5.7,13.2,20.3
Charlotte Hornets,68,115.5,40.7,89.0,45.7,16.1,42.6,37.8,18.0,22.0,81.9,12.8,33.3,46.1,26.4,7.1,4.6,14.6,19.1
Golden State Warriors,68,115.3,41.2,89.7,45.9,16.2,45.2,35.7,16.7,20.7,80.6,11.5,31.4,42.9,29.2,9.9,4.4,14.7,19.8
Portland Trail Blazers,69,115.1,40.8,90.2,45.2,14.3,42.2,33.9,19.2,25.2,76.2,14.0,31.8,45.8,24.9,8.2,5.3,16.6,20.1
Boston Celtics,68,114.3,42.1,90.7,46.4,15.4,42.5,36.2,14.7,18.3,80.3,12.7,33.5,46.2,24.6,7.2,5.3,11.4,19.2
Houston Rockets,67,113.8,42.5,89.5,47.4,11.1,30.7,36.2,17.8,23.4,75.9,15.2,32.9,48.2,24.6,8.7,5.8,14.7,18.6
Toronto Raptors,67,113.6,42.1,89.0,47.3,11.4,33.0,34.5,18.0,23.0,78.2,11.2,31.3,42.5,28.7,8.6,4.8,12.9,20.8
LA Clippers,68,113.5,40.1,83.2,48.3,12.2,33.6,36.3,21.0,25.3,82.8,9.5,31.2,40.7,23.6,8.9,4.8,13.7,18.8
Dallas Mavericks,69,113.2,41.8,89.2,46.8,10.7,31.3,34.2,18.9,25.3,74.6,10.3,34.6,44.9,25.1,7.4,5.2,14.3,18.2
Washington Wizards,67,112.7,41.5,90.2,46.0,12.9,36.4,35.6,16.7,21.7,77.0,11.4,31.4,42.8,25.1,7.8,5.8,15.3,21.3
Phoenix Suns,68,112.5,40.8,89.8,45.5,14.9,41.0,36.3,16.0,20.3,78.8,12.9,30.1,43.0,24.7,9.7,4.1,13.6,20.8
Indiana Pacers,68,111.2,40.1,89.2,45.0,12.9,37.4,34.6,18.0,23.4,77.0,10.2,32.0,42.2,26.5,7.4,4.6,13.8,21.3
Milwaukee Bucks,67,111.2,41.2,85.8,48.0,14.7,37.9,38.7,14.2,19.4,73.2,8.7,32.3,41.0,26.0,7.4,3.9,14.0,19.7
Sacramento Kings,69,110.8,41.5,89.2,46.5,10.0,29.9,33.6,17.8,22.9,77.9,11.2,30.9,42.1,25.4,8.3,4.5,13.7,19.8
Brooklyn Nets,68,106.6,37.6,84.7,44.4,13.4,39.1,34.2,18.1,23.3,77.6,10.8,29.4,40.2,25.3,7.7,4.4,15.2,20.7
