Team,GP,Tot_YDS_Allowed,Tot_YDS_perG_Allowed,Pass_YDS_Allowed,Pass_YDS_perG_Allowed,Rush_YDS_Allowed,Rush_YDS_perG_Allowed,PTS_Allowed,PTS_perG_Allowed
Houston Texans,11,2907,264.3,1893,172.1,1014,92.2,182,16.5
Cleveland Browns,11,3003,273.0,1878,170.7,1125,102.3,244,22.2
Denver Broncos,11,3018,274.4,2044,185.8,974,88.5,192,17.5
Green Bay Packers,11,3066,278.7,2005,182.3,1061,96.5,202,18.4
Los Angeles Chargers,11,3147,286.1,1895,172.3,1252,113.8,238,21.6
Kansas City Chiefs,11,3223,293.0,2149,195.4,1074,97.6,201,18.3
Seattle Seahawks,11,3311,301.0,2312,210.2,999,90.8,217,19.7
New England Patriots,12,3614,301.2,2562,213.5,1052,87.7,226,18.8
Los Angeles Rams,11,3423,311.2,2293,208.5,1130,102.7,179,16.3
Detroit Lions,11,3435,312.3,2316,210.5,1119,101.7,243,22.1
Minnesota Vikings,11,3463,314.8,2047,186.1,1416,128.7,255,23.2
New Orleans Saints,11,3477,316.1,2118,192.5,1359,123.5,274,24.9
Buffalo Bills,11,3488,317.1,1850,168.2,1638,148.9,252,22.9
Las Vegas Raiders,11,3538,321.6,2401,218.3,1137,103.4,277,25.2
New York Jets,11,3538,321.6,2131,193.7,1407,127.9,291,26.5
Atlanta Falcons,11,3558,323.5,2094,190.4,1464,133.1,249,22.6
Jacksonville Jaguars,11,3562,323.8,2640,240.0,922,83.8,250,22.7
Carolina Panthers,12,3925,327.1,2534,211.2,1391,115.9,269,22.4
Arizona Cardinals,11,3707,337.0,2451,222.8,1256,114.2,283,25.7
Philadelphia Eagles,11,3741,340.1,2475,225.0,1266,115.1,225,20.5
Tampa Bay Buccaneers,11,3753,341.2,2679,243.5,1074,97.6,284,25.8
San Francisco 49ers,12,4112,342.7,2901,241.8,1211,100.9,261,21.8
Indianapolis Colts,11,3770,342.7,2699,245.4,1071,97.4,229,20.8
Baltimore Ravens,11,3823,347.5,2531,230.1,1293,117.5,261,23.7
Miami Dolphins,11,3848,349.8,2279,207.2,1569,142.6,269,24.5
Tennessee Titans,11,3878,352.5,2417,219.7,1461,132.8,303,27.5
Chicago Bears,11,3991,362.8,2472,224.7,1519,138.1,292,26.5
Pittsburgh Steelers,11,4009,364.5,2846,258.7,1163,105.7,263,23.9
Dallas Cowboys,11,4152,377.5,2775,252.3,1377,125.2,314,28.5
New York Giants,12,4620,385.0,2734,227.8,1886,157.2,334,27.8
Washington Commanders,11,4257,387.0,2744,249.5,1513,137.5,296,26.9
Cincinnati Bengals,11,4574,415.8,2858,259.8,1716,156.0,360,32.7
