Team,GP,Tot_YDS,Tot_YDS_perG,Pass_YDS,Pass_YDS_perG,Rush_YDS,Rush_YDS_perG,PTS,PTS_perG
Dallas Cowboys,14,5557,396.9,3866,276.1,1691,120.8,407,29.1
Los Angeles Rams,14,5370,383.6,3600,257.1,1770,126.4,420,30.0
Buffalo Bills,14,5337,381.2,3118,222.7,2219,158.5,411,29.4
Detroit Lions,14,5319,379.9,3483,248.8,1836,131.1,428,30.6
Chicago Bears,14,5167,369.1,3041,217.2,2126,151.9,365,26.1
New England Patriots,14,5099,364.2,3385,241.8,1714,122.4,382,27.3
Kansas City Chiefs,14,5011,357.9,3416,244.0,1595,113.9,328,23.4
Indianapolis Colts,14,5005,357.5,3206,229.0,1799,128.5,392,28.0
Seattle Seahawks,14,4909,350.6,3327,237.6,1582,113.0,405,28.9
San Francisco 49ers,14,4865,347.5,3446,246.1,1419,101.4,344,24.6
Denver Broncos,14,4837,345.5,3164,226.0,1673,119.5,342,24.4
New York Giants,14,4805,343.2,3054,218.1,1751,125.1,300,21.4
Green Bay Packers,14,4786,341.9,3148,224.9,1638,117.0,348,24.9
Atlanta Falcons,14,4766,340.4,3048,217.7,1718,122.7,281,20.1
Los Angeles Chargers,14,4731,337.9,3003,214.5,1728,123.4,315,22.5
Jacksonville Jaguars,14,4700,335.7,3010,215.0,1690,120.7,376,26.9
Arizona Cardinals,14,4668,333.4,3338,238.4,1330,95.0,302,21.6
Washington Commanders,14,4597,328.4,2678,191.3,1919,137.1,291,20.8
Houston Texans,14,4588,327.7,3071,219.4,1517,108.4,323,23.1
Baltimore Ravens,14,4544,324.6,2497,178.4,2047,146.2,335,23.9
Tampa Bay Buccaneers,14,4433,316.6,2848,203.4,1585,113.2,327,23.4
Philadelphia Eagles,14,4409,314.9,2790,199.3,1619,115.6,320,22.9
Cincinnati Bengals,14,4396,314.0,3172,226.6,1224,87.4,314,22.4
Carolina Panthers,14,4326,309.0,2568,183.4,1758,125.6,264,18.9
Miami Dolphins,14,4245,303.2,2538,181.3,1707,121.9,296,21.1
New Orleans Saints,14,4156,296.9,2848,203.4,1308,93.4,226,16.1
Pittsburgh Steelers,14,4034,288.1,2739,195.6,1295,92.5,336,24.0
Minnesota Vikings,14,3911,279.4,2479,177.1,1432,102.3,289,20.6
New York Jets,14,3857,275.5,2058,147.0,1799,128.5,276,19.7
Cleveland Browns,14,3700,264.3,2408,172.0,1293,92.4,226,16.1
Tennessee Titans,14,3507,250.5,2267,161.9,1240,88.6,225,16.1
Las Vegas Raiders,14,3418,244.1,2427,173.4,991,70.8,196,14.0
