Team_Abbr,Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
DET,Detroit Tigers,33,17,0.66,0.0,17-5,16-12,267,182,85,W2,7-3
PHI,Philadelphia Phillies,31,18,0.633,1.5,17-8,14-10,241,204,37,W6,8-2
LAD,Los Angeles Dodgers,31,19,0.62,2.0,19-8,12-11,284,222,62,W2,5-5
NYY,New York Yankees,30,19,0.612,2.5,18-9,12-10,276,181,95,W4,8-2
CHC,Chicago Cubs,30,20,0.6,3.0,15-10,15-10,293,210,83,W2,7-3
NYM,New York Mets,30,20,0.6,3.0,17-5,13-15,218,162,56,W1,5-5
SEA,Seattle Mariners,28,20,0.583,4.0,13-11,15-9,227,200,27,W1,6-4
SF,San Francisco Giants,29,21,0.58,4.0,17-9,12-12,230,188,42,L1,5-5
SD,San Diego Padres,27,21,0.563,5.0,16-8,11-13,205,185,20,L6,2-8
MIN,Minnesota Twins,27,22,0.551,5.5,16-7,11-15,201,169,32,L1,8-2
KC,Kansas City Royals,28,23,0.549,5.5,17-9,11-14,172,168,4,W1,4-6
CLE,Cleveland Guardians,26,22,0.542,6.0,14-8,12-14,192,209,-17,W1,3-7
STL,St. Louis Cardinals,27,23,0.54,6.0,16-8,11-15,240,200,40,L2,6-4
ARI,Arizona Diamondbacks,26,24,0.52,7.0,13-13,13-11,256,252,4,L2,5-5
HOU,Houston Astros,25,24,0.51,7.5,15-9,10-15,195,179,16,L2,5-5
TOR,Toronto Blue Jays,25,24,0.51,7.5,16-12,9-12,203,213,-10,W3,6-4
ATL,Atlanta Braves,24,24,0.5,8.0,15-7,9-17,198,189,9,L1,6-4
TEX,Texas Rangers,25,26,0.49,8.5,17-10,8-16,171,175,-4,L4,5-5
BOS,Boston Red Sox,25,26,0.49,8.5,14-12,11-14,240,232,8,L1,4-6
CIN,Cincinnati Reds,25,26,0.49,8.5,13-12,12-14,228,195,33,L2,5-5
MIL,Milwaukee Brewers,24,26,0.48,9.0,15-10,9-16,212,219,-7,L1,5-5
LAA,Los Angeles Angels,23,25,0.479,9.0,9-10,14-15,202,253,-51,W6,7-3
TB,Tampa Bay Rays,23,26,0.469,9.5,13-18,10-8,193,198,-5,W2,5-5
WSH,Washington Nationals,22,27,0.449,10.5,11-12,11-15,212,259,-47,W4,5-5
ATH,Athletics,22,28,0.44,11.0,8-16,14-12,212,281,-69,L8,1-9
MIA,Miami Marlins,19,29,0.396,13.0,13-15,6-14,197,276,-79,L2,4-6
PIT,Pittsburgh Pirates,17,33,0.34,16.0,11-14,6-19,146,211,-65,W2,4-6
BAL,Baltimore Orioles,16,32,0.333,16.0,8-15,8-17,183,268,-85,W1,2-8
CHW,Chicago White Sox,15,35,0.3,18.0,10-14,5-21,164,221,-57,L1,4-6
COL,Colorado Rockies,8,41,0.163,24.5,5-19,3-22,164,321,-157,L4,2-8
