Date,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save
2025-03-18,4:10 AM,6:10 AM,Los Angeles Dodgers,4,Chicago Cubs,1,Final,Yoshinobu Yamamoto,Shota Imanaga,Yoshinobu Yamamoto,Ben Brown,Tanner Scott
2025-03-19,4:10 AM,6:10 AM,Los Angeles Dodgers,6,Chicago Cubs,3,Final,Roki Sasaki,Justin Steele,Landon Knack,Justin Steele,Alex Vesia
2025-03-27,1:05 PM,3:05 PM,Milwaukee Brewers,2,New York Yankees,4,Final,Freddy Peralta,Carlos Rodón,Carlos Rodón,Freddy Peralta,Devin Williams
2025-03-27,1:07 PM,3:07 PM,Baltimore Orioles,12,Toronto Blue Jays,2,Final,Zach Eflin,José Berríos,Zach Eflin,José Berríos,
2025-03-27,2:05 PM,4:05 PM,Boston Red Sox,5,Texas Rangers,2,Final,Garrett Crochet,Nathan Eovaldi,Aroldis Chapman,Luke Jackson,Justin Slaten
2025-03-27,2:05 PM,4:05 PM,Philadelphia Phillies,7,Washington Nationals,3,Final,Zack Wheeler,MacKenzie Gore,José Alvarado,Colin Poche,
2025-03-27,2:10 PM,4:10 PM,Cleveland Guardians,7,Kansas City Royals,4,Final,Ben Lively,Cole Ragans,Emmanuel Clase,Sam Long,Paul Sewald
2025-03-27,2:10 PM,4:10 PM,New York Mets,1,Houston Astros,3,Final,Clay Holmes,Framber Valdez,Framber Valdez,Clay Holmes,Josh Hader
2025-03-27,2:10 PM,4:10 PM,San Francisco Giants,6,Cincinnati Reds,4,Final,Logan Webb,Hunter Greene,Tyler Rogers,Ian Gibaut,Ryan Walker
2025-03-27,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez
2025-03-27,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,
2025-03-27,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,
2025-03-27,2:15 PM,4:15 PM,Minnesota Twins,3,St. Louis Cardinals,5,Final,Pablo López,Sonny Gray,Sonny Gray,Pablo López,Ryan Helsley
2025-03-27,5:10 PM,7:10 PM,Detroit Tigers,4,Los Angeles Dodgers,5,Final,Tarik Skubal,Blake Snell,Blake Snell,Tarik Skubal,Blake Treinen
2025-03-27,8:10 PM,10:10 PM,Chicago Cubs,10,Arizona Diamondbacks,6,Final,Justin Steele,Zac Gallen,Justin Steele,Zac Gallen,
2025-03-27,8:10 PM,10:10 PM,Athletics,2,Seattle Mariners,4,Final,Luis Severino,Logan Gilbert,Trent Thornton,José Leclerc,Andrés Muñoz
2025-03-28,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,3,Final,Kyle Freeland,Ryan Pepiot,Pete Fairbanks,Victor Vodnik,
2025-03-28,5:07 PM,7:07 PM,Baltimore Orioles,2,Toronto Blue Jays,8,Final,Charlie Morton,Kevin Gausman,Kevin Gausman,Charlie Morton,
2025-03-28,5:10 PM,7:10 PM,Pittsburgh Pirates,4,Miami Marlins,3,Final,Mitch Keller,Connor Gillispie,Mitch Keller,Connor Gillispie,David Bednar
2025-03-28,6:05 PM,8:05 PM,Boston Red Sox,1,Texas Rangers,4,Final,Tanner Houck,Jack Leiter,Jack Leiter,Tanner Houck,Luke Jackson
2025-03-28,6:10 PM,8:10 PM,New York Mets,3,Houston Astros,1,Final,Tylor Megill,Hunter Brown,Tylor Megill,Hunter Brown,Edwin Díaz
2025-03-28,7:40 PM,9:40 PM,Chicago Cubs,1,Arizona Diamondbacks,8,Final,Jameson Taillon,Merrill Kelly,Merrill Kelly,Jameson Taillon,
2025-03-28,7:40 PM,9:40 PM,Athletics,7,Seattle Mariners,0,Final,Jeffrey Springs,Luis Castillo,Jeffrey Springs,Luis Castillo,
2025-03-28,7:40 PM,9:40 PM,Atlanta Braves,3,San Diego Padres,4,Final,Reynaldo López,Dylan Cease,Jason Adam,Dylan Lee,Robert Suarez
2025-03-28,8:10 PM,10:10 PM,Detroit Tigers,5,Los Angeles Dodgers,8,Final,Jack Flaherty,Yoshinobu Yamamoto,Luis García,Beau Brieske,
2025-03-29,11:05 AM,1:05 PM,Milwaukee Brewers,9,New York Yankees,20,Final,Nestor Cortes,Max Fried,Yoendrys Gómez,Nestor Cortes,
2025-03-29,12:10 PM,2:10 PM,Los Angeles Angels,1,Chicago White Sox,0,Final,José Soriano,Jonathan Cannon,José Soriano,Mike Clevinger,Kenley Jansen
2025-03-29,12:15 PM,2:15 PM,Minnesota Twins,1,St. Louis Cardinals,5,Final,Joe Ryan,Erick Fedde,Erick Fedde,Jorge Alcala,
2025-03-29,1:07 PM,3:07 PM,Baltimore Orioles,9,Toronto Blue Jays,5,Final,Dean Kremer,Max Scherzer,Dean Kremer,Richard Lovelady,
2025-03-29,2:05 PM,4:05 PM,Philadelphia Phillies,11,Washington Nationals,6,Final,Jesús Luzardo,Jake Irvin,Jesús Luzardo,Colin Poche,
2025-03-29,2:10 PM,4:10 PM,Cleveland Guardians,3,Kansas City Royals,4,Final,Gavin Williams,Seth Lugo,Daniel Lynch IV,Paul Sewald,Carlos Estévez
2025-03-29,2:10 PM,4:10 PM,San Francisco Giants,2,Cincinnati Reds,3,Final,Justin Verlander,Nick Lodolo,Nick Lodolo,Spencer Bivens,Emilio Pagán
2025-03-29,2:10 PM,4:10 PM,Colorado Rockies,2,Tampa Bay Rays,1,Final,Antonio Senzatela,Zack Littell,Luis Peralta,Zack Littell,Seth Halvorsen
2025-03-29,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Bailey Falter,Valente Bellozo,George Soriano,Joey Wentz,
2025-03-29,5:05 PM,7:05 PM,Boston Red Sox,3,Texas Rangers,4,Final,Walker Buehler,Tyler Mahle,Hoby Milner,Walker Buehler,Chris Martin
