team,record,conference strength,ppg,fg%,3ppg,3p%,ft%,reb,ast,pythagorean wins,ortg,drtg
Purdue,22-5,13,82.9,50.2,9.3,38,74.3,34.1,19.7,25,126.5,105.6
Uconn,25-3,7,79.2,49,8.6,36.6,70.1,33.1,18.6,26,119.8,99.8
Houston,23-4,10,77.4,44.9,8.9,34,77.1,33,15.2,26,121,97
Tennessee,20-7,13,80.9,47,6.8,34.9,69.9,40,17.3,24,119.9,102.3
Michigan,25-2,13,89.6,51,9.3,35.7,73.3,37.7,19.4,26,125.2,96
UNC,21-6,11,80.7,47.2,8.4,33.6,68.6,35.6,16.3,23,118,103.2
Arizona,25-2,10,87.2,50.4,5.8,35.4,72.6,40.4,17.4,26,122,95.8
Alabama,20-7,13,92.6,45.9,12.6,35.7,76.4,37.4,16.5,22,123.8,112.1
Kansas,20-7,10,76.9,47,7.4,35.4,76.6,35.7,14.8,22,114.1,101.8
Duke,25-2,11,82.4,50,8.8,34.8,71.4,36.9,17,26,123.6,94.7
Illinois,22-6,13,85.1,46.5,11.3,35.7,79.2,38.2,14.9,27,130.6,105.9
Iowa State,23-4,10,83.7,50.5,9,39.8,66.5,33.4,18.1,25,124.3,96
Michigan State,21-5,13,78.9,46.8,7.8,35.4,75.8,38.2,18.6,24,119.2,100.3
Florida,21-6,13,86.4,47.3,7.5,30.1,70.9,42.8,16.6,25,121.4,100.1
Nebraska,23-4,13,78.6,47.1,10.9,35.8,76.1,33,18.2,25,117.5,98
Villanova,21-6,7,77.7,45.7,9.8,35.8,68.8,31.2,15.4,22,118.3,106.5
Gonzaga,27-2,4,86.8,51.4,6.5,33.8,69.4,36.6,18.1,28,123.4,94.9
Texas Tech,20-7,10,82.1,46.7,11.4,39.2,71.6,34.6,16.1,23,120.9,106.5
Utah State,23-4,4,84.3,51.4,8.7,36.6,71,31.5,18,25,124.9,101.6
BYU,20-7,10,85.8,48.3,8.9,35.5,74.4,35.7,14.4,23,121.4,105.5
St. John's,22-5,7,83.9,45.9,7.2,34.2,72.8,35.2,16.1,25,118.1,100.3
Virginia,24-3,11,82,46.5,10.2,36,70.5,37.6,17,25,122.7,101.7
Vanderbilt,21-6,13,87.2,48,9.9,36.2,77.6,33,16.7,25,123.7,104.5
Louisville,20-7,11,86.8,47.3,11.8,36.1,77.9,37.3,17.8,25,122.8,101.5
Arkansas,20-7,13,89.9,50.5,8.4,37.9,74.7,32.3,17.3,24,126.5,110.2
Iowa,19-7,13,76.2,49.5,7.9,36.3,77.1,27.3,15.2,24,122.7,103.7
Clemson,20-8,11,74.5,45.8,8.2,33.9,72.6,31.9,13,24,116.1,102.2
Wisconsin,18-8,13,83.1,45,11,35.1,77,33,15.7,20,120.4,110.1
